Account#,Gross_TWR,qaswdfghj
94282475,0.895717184,gjhk
48610606,0.478119767,gjhk
53569383,0.756555578,gjhk
97671128,0.075586388,gjhk
57106966,0.111785788,gjhk
90715968,0.122765718,gjhk
38885566,0.168605533,gjhk
48445978,0.565770901,gjhk
26012386,0.425309447,gjhk
80309602,0.310484501,gjhk
77964282,0.356067609,gjhk
97042401,0.709971839,gjhk
67093308,0.733298219,gjhk
11206154,0.089933096,gjhk
93707299,0.027024279,gjhk
47175800,0.421063247,gjhk
12559457,0.955415224,gjhk
70178905,0.739776139,gjhk
12602324,0.212829367,gjhk
83888402,0.74664445,gjhk
49238032,0.07550436,gjhk
49730581,0.775768803,gjhk
13083012,0.079593438,gjhk
12240849,0.968116241,gjhk
59494821,0.375983229,gjhk
16983199,0.174140505,gjhk
53954682,0.952043232,gjhk
30121349,0.256735886,gjhk
90868773,0.669559406,gjhk
31122513,0.520159443,gjhk
66284448,0.314403474,gjhk
51047975,0.149214754,gjhk
74211891,0.732212892,gjhk
67847007,0.09755566,gjhk
23859985,0.313382976,gjhk
64349604,0.987664698,gjhk
61162209,0.879460613,gjhk
99326751,0.512174724,gjhk
36924890,0.071486282,gjhk
30995520,0.944096866,gjhk
29121672,0.775646894,gjhk
86543794,0.205709683,gjhk
81947890,0.783209091,gjhk
42092381,0.183083861,gjhk
35670306,0.202511744,gjhk
48361357,0.621011042,gjhk
92718697,0.318342058,gjhk
52165747,0.077602215,gjhk
56362892,0.178803672,gjhk
12978806,0.467493641,gjhk
86433494,0.368398538,gjhk
67769403,0.992282533,gjhk
24200358,0.445871195,gjhk
29529828,0.170221741,gjhk
89028882,0.43092223,gjhk
69761462,0.346472561,gjhk
59189528,0.068250894,gjhk
97882222,0.902757472,gjhk
90277559,0.648223448,gjhk
19482320,0.596214715,gjhk
35410018,0.095453441,gjhk
57893191,0.93080871,gjhk
68223905,0.705221542,gjhk
87728636,0.021556106,gjhk
93624702,0.110233662,gjhk
90142505,0.661663872,gjhk
44777833,0.450275319,gjhk
27297753,0.93974964,gjhk
21240973,0.940485854,gjhk
42822161,0.600429427,gjhk
56340117,0.498562717,gjhk
68028046,0.312443457,gjhk
63521128,0.732592258,gjhk
73848427,0.549393171,gjhk
66569792,0.04522359,gjhk
49125396,0.677509881,gjhk
86641672,0.265645913,gjhk
91368000,0.897221306,gjhk
53032220,0.033673058,gjhk
72703394,0.150169095,gjhk
27745921,0.411394651,gjhk
39195446,0.531022031,gjhk
13251605,0.635696247,gjhk
97457066,0.057159339,gjhk
53482898,0.191105556,gjhk
15285179,0.73133703,gjhk
90896273,0.038808814,gjhk
22411070,0.774434614,gjhk
68120234,0.272649817,gjhk
70846981,0.785248803,gjhk
52996313,0.490008088,gjhk
73040034,0.463449483,gjhk
61857910,0.296924577,gjhk
43524959,0.387426518,gjhk
16571361,0.68077039,gjhk
60283572,0.261725142,gjhk
58784295,0.73020856,gjhk
51625339,0.05284199,gjhk
59172298,0.758857639,gjhk
68954249,0.077616041,gjhk
79886983,0.165265125,gjhk
99615424,0.815910053,gjhk
66310403,0.266891089,gjhk
17823873,0.012983728,gjhk
74042634,0.264733314,gjhk
43319794,0.544048678,gjhk
55622414,0.252328581,gjhk
17143645,0.622028066,gjhk
52114028,0.324547762,gjhk
98869331,0.695779434,gjhk
27739695,0.494567527,gjhk
62244827,0.066634004,gjhk
18723794,0.530871747,gjhk
61998346,0.119873922,gjhk
18861904,0.371498878,gjhk
83844615,0.357449831,gjhk
78780890,0.480035779,gjhk
11885156,0.796620314,gjhk
15304360,0.691262713,gjhk
57807702,0.704176261,gjhk
61804224,0.983489987,gjhk
76385995,0.742558622,gjhk
33884488,0.978831651,gjhk
99667702,0.947143814,gjhk
34461034,0.415590645,gjhk
74577516,0.596291336,gjhk
32051350,0.130734027,gjhk
70913686,0.140630593,gjhk
33489023,0.527813392,gjhk
31743506,0.45459,gjhk
35357321,0.272209776,gjhk
65790277,0.242194773,gjhk
10877819,0.69262033,gjhk
46465152,0.344027337,gjhk
98390017,0.445351328,gjhk
74001491,0.658230528,gjhk
96673620,0.714556999,gjhk
43457580,0.894563669,gjhk
37695302,0.311950344,gjhk
24373914,0.30993071,gjhk
71137861,0.140209889,gjhk
75642569,0.396510733,gjhk
19473705,0.01258677,gjhk
16955540,0.014679679,gjhk
60934341,0.869763073,gjhk
58196982,0.94250375,gjhk
92183166,0.581590078,gjhk
40208320,0.614564088,gjhk
26013883,0.240510916,gjhk
33866598,0.124466275,gjhk
12578668,0.319494024,gjhk
10333612,0.270902598,gjhk
56988754,0.867753882,gjhk
91977967,0.6067372,gjhk
27084448,0.708959432,gjhk
18373793,0.160975533,gjhk
55356858,0.366505218,gjhk
80752770,0.044222536,gjhk
42861216,0.583241701,gjhk
23680804,0.458809681,gjhk
41444033,0.165361873,gjhk
36530507,0.702811699,gjhk
30243590,0.156394581,gjhk
54633353,0.883164446,gjhk
39443347,0.294385644,gjhk
45778669,0.46331275,gjhk
88404296,0.895667056,gjhk
15172280,0.957141186,gjhk
70420776,0.793369953,gjhk
50997480,0.62500431,gjhk
97123248,0.544592984,gjhk
89874887,0.496163039,gjhk
31885261,0.627735922,gjhk
22013587,0.428584145,gjhk
38382397,0.194566572,gjhk
55704946,0.661747697,gjhk
27967103,0.399292765,gjhk
95164855,0.953093563,gjhk
39018288,0.275105104,gjhk
84604013,0.378604009,gjhk
79181821,0.14503239,gjhk
40744036,0.817016681,gjhk
65547417,0.68598089,gjhk
10673706,0.1171958,gjhk
35462290,0.638713649,gjhk
48347110,0.950961581,gjhk
22869191,0.039294669,gjhk
27788789,0.221211727,gjhk
69715332,0.013982055,gjhk
81436388,0.782592369,gjhk
42548605,0.198733928,gjhk
61725213,0.841945921,gjhk
93373033,0.626412049,gjhk
57700281,0.762891464,gjhk
47087310,0.164236559,gjhk
81469896,0.928528973,gjhk
97252593,0.513256641,gjhk
67184357,0.774308683,gjhk
30764992,0.432171111,gjhk
96112884,0.168816445,gjhk
82444941,0.071455175,gjhk
11292023,0.696028778,gjhk
70903054,0.912995041,gjhk
97679715,0.313635774,gjhk
70406362,0.78029753,gjhk
24501541,0.805761847,gjhk
32587570,0.221096506,gjhk
46901382,0.191155112,gjhk
18424780,0.200643087,gjhk
65129065,0.031432063,gjhk
64065733,0.017021343,gjhk
86496833,0.947887773,gjhk
37914037,0.69159372,gjhk
31662485,0.77654219,gjhk
53365167,0.649202069,gjhk
23193699,0.888648237,gjhk
85291801,0.131516198,gjhk
94109682,0.547004955,gjhk
93497214,0.683545023,gjhk
21349578,0.03948282,gjhk
68082795,0.851031525,gjhk
46052891,0.036906595,gjhk
44872400,0.054691054,gjhk
26206854,0.992324541,gjhk
36687328,0.808464112,gjhk
22185995,0.378312986,gjhk
